Time,Gold Probe Temperature,Stainless Steel Probe Temperature,Convectron Pressure,Baratron Pressure,Ion Gauge Pressure,Plasma Power,Flow Rate
177,23.044,23.355,-3.5325834005105587e+18,0.0016412622466745075,0.0003863416407584737,over range,,
178,23.013,23.153,-1.5902878585764495e+18,0.0016517378170602642,0.00039376262520454474,over range,,
179,22.966,23.237,-3.0782966964063206e+18,0.0017427310615449041,0.0003047108118516917,over range,,
180,22.878,23.099,-2.5104072339382984e+18,0.0017541731168775386,0.0002379219518370519,over range,,
181,23.093,23.102,-1.0223372385938688e+17,0.0017455845593715709,0.0002527639207291941,over range,,
182,23.075,23.089,-1.5903060719319597e+17,0.0017541731168775386,0.0002750268740674073,over range,,
183,22.983,23.128,-1.647091220385378e+18,0.001759922285228366,0.0003640786874202604,over range,,
184,22.947,23.249,-3.430419221561155e+18,0.0017433647687909524,0.0002824478585134784,over range,,
185,22.981,22.936,5.1118382355396864e+17,0.0017548109847847087,0.0002824478585134784,over range,,
186,23.05,23.124,-8.40585086539299e+17,0.0017544920218429993,0.00037149967186633147,over range,,
187,23.015,23.122,-1.2154410330995676e+18,0.001753216749733278,0.0002750268740674073,over range,,
188,23.02,22.986,3.862243151085156e+17,0.001737038052059694,0.0004234465629888291,over range,,
189,22.979,23.151,-1.9537829252385994e+18,0.001738301555948562,0.0004086045940966869,over range,,
190,22.878,23.294,-4.725307702445187e+18,0.0017436817088215728,0.0003640786874202604,over range,,
191,22.904,23.276,-4.2255291245181537e+18,0.0017541731168775386,0.0003863416407584737,over range,,
192,22.97,23.342,-4.225479335698911e+18,0.0018643162132121406,0.000416025578542758,over range,,
193,22.847,23.263,-4.725333864280795e+18,0.0018562003791398182,0.0003640786874202604,over range,,
194,23.062,23.171,-1.2381487037309658e+18,0.0018646551419597439,0.0004086045940966869,over range,,
195,22.93,23.085,-1.760697269053924e+18,0.001875533456611098,0.00045313050077311345,over range,,
196,22.927,22.986,-6.702127821001044e+17,0.0018407436520949919,0.00034923671852811825,over range,,
197,23.048,23.066,-2.0446876555375466e+17,0.0020461631436904317,0.0020412211722323262,over range,,
198,22.933,23.089,-1.7720553372956813e+18,0.0035249147146911436,0.004512408992773999,over range,,
